Name,Link,Location,Size,Distance,Vacant Units,Owners,Update
Broadway Shopping Centre,https://completelyretail.co.uk/portfolio/NewRiver/scheme/Broadway-Shopping-Centre-Bexleyheath,Bexleyheath | DA6 7JN,,,,,
Sheffield Retail Park,https://completelyretail.co.uk/portfolio/NewRiver/scheme/Sheffield-Retail-Park-Sheffield,Sheffield | S9 5PA,,,,,
Kirkstall Retail Park,https://completelyretail.co.uk/portfolio/NewRiver/scheme/Kirkstall-Valley-Retail-Park-Leeds,"Savins Mill Way, Leeds | LS5 3RP",,,,,
Enterprise 5,https://completelyretail.co.uk/portfolio/NewRiver/scheme/Enterprise-5-Bradford,"Bradford Road, Bradford | BD10 8EG",,,,,
Speke Retail Park,https://completelyretail.co.uk/portfolio/NewRiver/scheme/The-Speke-Centre-Liverpool,"Speke, Liverpool | L24 2WZ",,,,,
The Moor,https://completelyretail.co.uk/portfolio/NewRiver/scheme/The-Moor-Sheffield,"The Moor, Sheffield | S1 4PF",,,,,
The Forum Shopping Centre,https://completelyretail.co.uk/portfolio/NewRiver/scheme/The-Forum-Shopping-Centre-Wallsend,"7a Segedunum Way, Wallsend | NE28 8JR",,,,,
Capitol Shopping Centre,https://completelyretail.co.uk/portfolio/NewRiver/scheme/The-Capitol-Shopping-Centre-Cardiff,"Queen Street, Cardiff | CF10 2HQ",,,,,
ValeGate Retail Park,https://completelyretail.co.uk/portfolio/NewRiver/scheme/Valegate-Retail-Park-Cardiff,"Culverhouse Cross, Cardiff | CF5 6EH",,,,,
The Beacon Shopping Centre,https://completelyretail.co.uk/portfolio/NewRiver/scheme/Beacon-Shopping-Centre-North-Shields,"Bedford Street, North Shields | NE29 6QF",,,,,
